Aari1239,South Omotic,AHK,Aari-Gayil,,,,,,,,,,,,,,
Aari1240,,,,,,,,,,,,,,,,,
Alor1247,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Flores-Lembata,Sika-Lamaholot,Lamaholotic,Lamaholot Barat,Alorese-Lamalera,,,,,,,
Alsa1242,Sign Languages,,,,,,,,,,,,,,,,
Alse1251,,,,,,,,,,,,,,,,,
Alug1235,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Loloish,Ni-Li-Kazhouish,Southeastern Ngwi,Riverine Phula,Downriver Riverine Phula,Phupha-Alugu,,,,,,,,
Aluk1238,Dravidian,South Dravidian,South Dravidian I,Tamil-Kannada,Badaga-Kannada,Kannadoid,,,,,,,,,,,
Alum1246,Atlantic-Congo,Volta-Congo,Benue-Congo,Benue-Congo Plateau,Alumic,Alumu-Toro,Alumu-Akpondu,,,,,,,,,,
Alun1238,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Central Maluku,East Central Maluku,Nunusaku,Three Rivers,Amalumute,Northwest Seram,Ulat Inai,,,,,
Aluo1235,Sino-Tibetan,Burmo-Qiangic,Lolo-Burmese,Loloish,Ni-Li-Kazhouish,Southeastern Ngwi,Nisoid,Nuclear Nisoid,,,,,,,,,
Alur1250,Nilotic,Western Nilotic,Luo-Burun,Southern Lwoo,Adhola-Alur-Luo,,,,,,,,,,,,
Alut1245,Chukotko-Kamchatkan,Chukotian,,,,,,,,,,,,,,,
Alvi1241,Indo-European,Indo-Iranian,Iranian,Western Iranian,Northwestern Iranian,Tatic,Southern Tatic,,,,,,,,,,
Alya1239,Pama-Nyungan,Arandic-Thura-Yura,Arandic,Aranda,,,,,,,,,,,,,
Amah1245,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Central Maluku,East Central Maluku,Nunusaku,Piru Bay,East Piru Bay,Solehua,Seram Straits,Uliase,Hatuhaha,Saparuan,Elpaputi,
Amah1246,Panoan,Mainline Pano,Pano Nawa,Headwaters,,,,,,,,,,,,,
Amai1246,Nuclear Trans New Guinea,Madang,Croisilles,,,,,,,,,,,,,,
Amal1242,Sepik,,,,,,,,,,,,,,,,
Aman1265,Border,Warisic,,,,,,,,,,,,,,,
Aman1266,Tupian,Tupi-Guarani,Tupi-Guarani Subgroup IV,Tupi-Guarani Subgroup IV.B,,,,,,,,,,,,,
Amap1240,Left May,Nuclear Left May,,,,,,,,,,,,,,,
Amar1271,Iwaidjan Proper,,,,,,,,,,,,,,,,
Amar1272,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Western Oceanic linkage,North New Guinea linkage,Ngero-Vitiaz linkage,Vitiaz linkage,Southwest New Britain,,,,,,
Amar1273,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Timoric A,West Extra-Ramelaic,Rotinese,Nuclear Rotinese,,,,,,,,
Amar1274,Harakmbut,,,,,,,,,,,,,,,,
Amas1236,Nyimang,,,,,,,,,,,,,,,,
Amat1238,Otomanguean,Eastern Otomanguean,Popoloca-Zapotecan,Zapotecan,Zapotec,Core Zapotec,Southern Core Zapotec,,,,,,,,,,
Amba1263,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Narrow Bantu,Ababuan,Old Bomokandian,Komoic,,,,,,,,
Amba1265,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,South Halmahera-West New Guinea,West New Guinea,Yapen,Central-Western Yapen,Ansus-Ambai,,,,,,,
Amba1266,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,Temotu,Utupua-Vanikoro,Utupua,,,,,,,,
Amba1267,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central Luzon,Sambalic,,,,,,,,,,,,
Amba1269,Lower Sepik-Ramu,,,,,,,,,,,,,,,,
Ambe1246,Unclassified,,,,,,,,,,,,,,,,
Ambe1247,Atlantic-Congo,Volta-Congo,Benue-Congo,Bantoid,Southern Bantoid,Wide Grassfields,,,,,,,,,,,
Ambe1248,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Central Malayo-Polynesian,Central Maluku,West Central Maluku,,,,,,,,,,
Ambl1237,Austronesian,Nuclear Austronesian,Malayo-Polynesian,Central-Eastern Malayo-Polynesian,Eastern Malayo-Polynesian,Oceanic,North and Central Vanuatu,Northern Vanuatu,Espiritu Santo,South Santo,,,,,,,
